iter	Poisson
0	-0.7519473561
1	-3.813985897
2	-13.26519792
3	-15.8701989
4	-24.80055637
5	-33.31011133
6	-35.58400123
7	-43.96573309
8	-52.04734845
9	-59.77021707
10	-67.38611847
11	-74.59167757
12	-76.0927347
13	-77.50536053
14	-84.51491337
15	-91.27594783
16	-97.84554863
17	-104.3736667
18	-110.2996784
19	-116.3559472
20	-122.217448
21	-128.0229361
22	-133.2754884
23	-138.6153111
24	-143.4256612
25	-148.2705257
26	-152.9142615
27	-157.5030944
28	-161.7297433
29	-165.9338492
30	-170.0123869
31	-173.8383251
32	-177.5708008
33	-181.1580748
34	-184.5944116
35	-187.977141
36	-191.2234551
37	-194.3766053
38	-197.3528361
39	-200.1624704
40	-202.7973427
41	-205.430456
42	-208.0437926
43	-210.5260068
44	-212.9128356
45	-215.2733802
46	-217.4572967
47	-219.6530806
48	-221.7698456
49	-223.7539628
50	-225.7837473
51	-227.637278
52	-229.2968859
53	-231.0835429
54	-232.6339731
55	-234.2646976
56	-235.6266104
57	-237.1400857
58	-238.5333076
59	-239.8333081
60	-241.0466539
61	-242.2183703
62	-243.5188291
63	-244.6392782
64	-246.0512967
65	-247.1103614
66	-248.0515881
67	-249.0337492
68	-249.9887504
69	-250.7608537
70	-251.6304571
71	-252.4158813
72	-253.2006001
73	-254.0128286
74	-254.6865675
75	-255.3909033
76	-256.1210732
77	-256.8484412
78	-257.4653818
79	-258.0580946
80	-258.933252
81	-259.7217936
82	-260.256651
83	-260.8196536
84	-261.4122149
85	-261.8489349
86	-262.2686467
87	-262.7937783
88	-263.3336586
89	-263.8247039
90	-264.2333666
91	-264.707893
92	-265.1981128
93	-265.744441
94	-266.2544527
95	-266.612887
96	-266.9751415
97	-267.3213774
98	-267.6929878
99	-268.0669763
100	-268.3601668
101	-268.7572559
102	-269.0971749
103	-269.4335108
104	-269.681564
105	-270.0598587
106	-270.3902257
107	-270.6656181
108	-270.8698711
109	-271.1271129
110	-271.3065047
111	-271.6400754
